Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
3403,Loma Vista Immersion Academy,K-6,Old Adobe Union,272,50.7,35.6,24.7
3404,Apricot Valley Elementary,K-5,Patterson Joint Unified,793,63.2,35.6,24.7
3405,Elmhurst Elementary,K-5,Ventura Unified,524,55.3,35.5,21.8
3406,Maple Elementary,K-6,Fullerton Elementary,387,88.1,35.5,27.6
3407,Fremont Elementary,3-5,Fowler Unified,462,72.7,35.5,25.6
3408,A. J. Dorsa Elementary,K-5,Alum Rock Union Elementary,489,91.0,35.4,27.1
3409,Brooks Elementary,4-5,Windsor Unified,459,35.7,35.4,24.1
3410,Salida Elementary,K-5,Salida Union Elementary,366,87.4,35.4,26.1
3411,River Oak Charter,K-8,Ukiah Unified,237,41.4,35.4,23.7
3412,Thomas Jefferson Elementary,K-6,Bellflower Unified,607,86.7,35.4,24.2
3413,Bandini Street Elementary,K-6,Los Angeles Unified,373,87.7,35.4,23.3
3414,Selby Lane Elementary,K-8,Redwood City Elementary,679,71.1,35.4,21.9
3415,Lucille Roybal-Allard Elementary,K-6,Los Angeles Unified,594,91.4,35.4,23.7
3416,Howard Inghram Elementary,K-6,San Bernardino City Unified,361,97.8,35.4,27.7
3417,Linton T. Simmons Elementary,K-6,Garden Grove Unified,457,90.8,35.3,26.8
3418,Woodlawn Avenue Elementary,K-5,Los Angeles Unified,781,87.5,35.3,23.6
3419,La Tercera Elementary,K-6,Old Adobe Union,351,48.4,35.3,25
3420,Dwight D. Eisenhower Elementary,K-6,Garden Grove Unified,778,90.6,35.3,25.9
3421,El Toro Elementary,K-5,Morgan Hill Unified,450,47.3,35.3,26.4
3422,Meyler Street Elementary,K-5,Los Angeles Unified,786,83.6,35.3,23.1
3423,Figarden Elementary,K-6,Fresno Unified,657,67.6,35.3,24.3
3424,Alder Grove Charter,K-12,South Bay Union Elementary,379,67.8,35.2,17.2
3425,Indianola Elementary,K-6,Selma Unified,501,74.7,35.2,23.8
3426,Reseda Elementary,K-5,Los Angeles Unified,409,89.2,35.2,22.7
3427,Price (Adelaide) Elementary,K-6,Anaheim Elementary,805,68.7,35.2,26.8
3428,Meiners Oaks Elementary,K-6,Ojai Unified,292,59.9,35.2,24.3
3429,Herrick Avenue Elementary,K-5,Los Angeles Unified,590,85.9,35.2,22.6
3430,Foothill Oaks Elementary,K-6,Twin Rivers Unified,519,81.7,35.2,23.5
3431,Innovations Academy,K-8,San Diego Unified,354,23.2,35.2,20.8
3432,Carver Elementary,K-5,San Diego Unified,250,91.6,35.2,22.7
3433,M. Robert Adkison Elementary,K-6,Ceres Unified,683,89.6,35.1,23.5
3434,Mammoth Elementary,K-5,Mammoth Unified,576,61.3,35.1,22.1
3435,Johnson Elementary,K-5,San Diego Unified,389,87.7,35.1,25.9
3436,Malcolm X Academy,K-5,San Francisco Unified,85,90.6,35.1,14.1
3437,Joshua Cowell Elementary,K-8,Manteca Unified,577,57.5,35,25
3438,Coldwater Canyon Elementary,K-5,Los Angeles Unified,781,92.6,35,23.6
3439,McKinley Elementary,K-6,El Centro Elementary,411,90.0,35,25.6
3440,Fishburn Avenue Elementary,K-5,Los Angeles Unified,538,90.0,35,22.4
3441,Oasis Elementary,K-6,Morongo Unified,572,69.4,35,24.8
3442,Grapevine Elementary,K-5,Vista Unified,657,85.8,35,22.6
3443,Jefferson Elementary,K-6,Fresno Unified,481,96.7,35,24
3444,Highland Elementary,K-6,Inglewood Unified,708,70.6,34.9,26.2
3445,Kawana Springs Elementary,K-6,Bellevue Union,405,79.8,34.9,22.5
3446,Selma Herndon Elementary,K-5,Livingston Union,650,84.6,34.9,23.2
3447,Oneonta Elementary,K-6,South Bay Union,551,78.8,34.9,26.2
3448,Ramon S. Tafoya Elementary,K-6,Woodland Joint Unified,818,69.4,34.9,26.3
3449,Del Rey Elementary,K-6,Sanger Unified,260,95.8,34.8,20
3450,Lincoln Elementary,K-5,Lynwood Unified,548,94.0,34.8,26
3451,Bryant Elementary,K-6,Garden Grove Unified,729,82.4,34.8,26
3452,Pinewood Avenue Elementary,K-5,Los Angeles Unified,289,90.3,34.8,20.6
3453,Peter J. Shields Elementary,K-5,Folsom-Cordova Unified,387,84.2,34.8,25.8
3454,Antioch Charter Academy II,K-8,Antioch Unified,198,34.9,34.8,19.8
3455,Webster Elementary,K-6,San Diego Unified,325,91.1,34.8,25
3456,Jenny Oropeza Elementary,K-5,Long Beach Unified,835,82.5,34.8,27.8
3457,Extera Public,K-8,Los Angeles Unified,519,85.9,34.8,23.5
3458,Lakewood Elementary,K-5,Sunnyvale,439,61.7,34.7,21.9
3459,Paragon Collegiate Academy,K-8,Marysville Joint Unified,166,65.7,34.7,18.4
3460,John L. Prueitt Elementary,K-6,Wasco Union Elementary,837,84.8,34.7,23.2
3461,Crescent Heights Boulevard Elementary,K-5,Los Angeles Unified,383,90.6,34.7,22.5
3462,Fortune,K-8,Sacramento County Office Of Education,1195,82.3,34.7,22.9
3463,Robinson Academy,K-8,Long Beach Unified,954,93.8,34.7,25.7
3464,Westwood Elementary,K-5,Mt. Diablo Unified,341,44.0,34.6,20
3465,Sunshine Gardens Elementary,K-5,South San Francisco Unified,402,52.0,34.6,22.3
3466,William M. Metteer Elementary,K-5,Red Bluff Union Elementary,507,80.3,34.6,23
3467,Lorin A. Eden Elementary,K-6,Hayward Unified,491,66.0,34.6,24.5
3468,Ninety-Sixth Street Elementary,K-6,Los Angeles Unified,812,94.3,34.6,23.8
3469,John J. Doyle Elementary,K-6,Porterville Unified,684,95.9,34.6,25.3
