,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
185,Potter Valley Community Unified,50.4,50.4,29.2,43.33333333,28.2,15.13333333
164,East Side Union High,52.74545455,69.63333333,7.3,43.22626263,50.3,-7.073737374
241,Helendale Elementary,44.325,54.8,30.33333333,43.15277778,36.9,6.252777778
277,Pomona Unified,40.3,52.4,35.71851852,42.80617284,37.7,5.10617284
328,Gateway Unified,34.5,57.05,36.78,42.77666667,37.6,5.176666667
341,Julian Union Elementary,32.7,52.4,42.53333333,42.54444444,48.5,-5.955555556
299,Ceres Unified,38.72,56.9,31.45333333,42.35777778,35.1,7.257777778
324,Santa Paula Unified,35,60.8,31.26666667,42.35555556,31.3,11.05555556
259,Siskiyou County Office Of Education,42.7,42.7,41.5,42.3,,42.3
329,Rim Of The World Unified,34.4,58.2,34,42.2,34.9,7.3
284,Vallejo City Unified,39.925,62.55,23.86875,42.11458333,25.3,16.81458333
306,Azusa Unified,37.8,51.6,36.31818182,41.90606061,36.4,5.506060606
305,Yuba City Unified,37.92,49.03333333,38.35714286,41.77015873,40.9,0.87015873
359,Washington Unified,28.84,58.65,37.56363636,41.68454545,26.6,15.08454545
358,Washington Unified,28.84,58.65,37.56363636,41.68454545,42.9,-1.215454545
291,Kern County Office Of Education,39.35,68.25,17.375,41.65833333,27.2,14.45833333
319,Del Norte County Unified,35.45,61.2,27.2,41.28333333,30.1,11.18333333
347,Exeter Unified,31.8,49.7,42.35,41.28333333,40,1.283333333
353,San Leandro Unified,31.15,53.6,39.05,41.26666667,36.4,4.866666667
331,Patterson Joint Unified,34.25,57.4,31.98,41.21,31.7,9.51
302,Manteca Unified,38.35,52.34,32.72,41.13666667,39,2.136666667
307,Antioch Unified,37.73333333,59.6,25.475,40.93611111,30.9,10.03611111
320,Palmdale Elementary,35.36666667,65.8,21.05652174,40.7410628,21.8,18.9410628
210,Piner-Olivet Union Elementary,48.1,48.1,25.9,40.7,35.5,5.2
238,Mendota Unified,44.8,44.8,31.75,40.45,32.2,8.25
308,Riverbank Unified,37.5,62.2,21.36666667,40.35555556,31.2,9.155555556
325,Stanislaus County Office Of Education,35,60.4,25.45,40.28333333,27.1,13.18333333
265,Gorman Joint,42.1,42.1,36.05,40.08333333,41.3,-1.216666667
193,Modoc Joint Unified,49.9,49.9,19.8,39.86666667,35.5,4.366666667
344,Los Banos Unified,32.075,51.1,36.14444444,39.77314815,33.9,5.873148148
354,Tehachapi Unified,30.3,44.8,44,39.7,44.5,-4.8
304,Hesperia Unified,38.02222222,50.58333333,29.96470588,39.52342048,29.4,10.12342048
285,Oro Grande Elementary,39.9,63.9,14.43333333,39.41111111,20.9,18.51111111
171,Big Valley Joint Unified,52,52,13.8,39.26666667,30.1,9.166666667
332,Borrego Springs Unified,34.2,55.5,27.9,39.2,32.3,6.9
340,San Jacinto Unified,32.8,52.5,31.0875,38.79583333,35.9,2.895833333
178,McFarland Unified,51.1,51.1,14,38.73333333,21.3,17.43333333
335,Alpaugh Unified,33.65,55.6,26.75,38.66666667,29.4,9.266666667
239,Jamestown Elementary,44.5,44.5,26.5,38.5,35.6,2.9
365,Dehesa Elementary,27.825,42,45.58,38.46833333,44.8,-6.331666667
217,Woodlake Unified,47.8,47.8,19.5,38.36666667,34.1,4.266666667
186,Orland Joint Unified,50.3,50.3,14.1,38.23333333,25.6,12.63333333
326,San Bernardino City Unified,34.76666667,52.6375,27.05849057,38.15421908,28.3,9.854219078
345,Twin Rivers Unified,31.94166667,53.26,28.928125,38.04326389,28.8,9.243263889
234,Meridian Elementary,45.3,45.3,23.3,37.96666667,,37.96666667
303,Fontana Unified,38.17142857,49.1,26.4862069,37.91921182,27.2,10.71921182
374,Central Unified,24.56666667,46.9,42.06428571,37.84365079,41,-3.156349206
283,South Bay Union Elementary,40,40,32.65,37.55,,37.55
301,Moreno Valley Unified,38.35714286,50.02,23.87391304,37.41701863,23.9,13.51701863
362,Paramount Unified,28.45,47.6,36.03636364,37.36212121,38.1,-0.737878788
357,Warner Unified,29.5,48.2,34.35,37.35,,37.35
254,Golden Feather Union Elementary,42.9,42.9,26.1,37.3,36,1.3
214,Esparto Unified,47.9,47.9,15.8,37.2,22.4,14.8
327,Colton Joint Unified,34.75,42.73333333,33.98333333,37.15555556,34,3.155555556
222,Williams Unified,47.2,47.2,16.9,37.1,,37.1
